latitude,longitude,depth,mag,nst,gap,dmin,rms,horizontalError,depthError,magError,magNst,time_year,time_month,time_day,time_dayofweek,updated_year,updated_month,updated_day,updated_dayofweek,magType_mb,magType_mww,net_us,id_freq,place_freq,type_earthquake,status_reviewed,locationSource_us,magSource_us,place_region_Afghanistan,place_region_China,place_region_Costa Rica,place_region_Indonesia,place_region_Papua New Guinea,place_region_Philippines,place_region_Unknown
0.3754538698742934,-1.855095945255109,0.05560894304255047,-0.6671802378595918,-0.4432873685250979,2.4205197289062874,-1.2864875185869895,1.4160203446017139,-1.7096787903912647,0.6236585933803938,-1.0770609131973834,0.8201972819769023,0.0,0.3015113445777658,1.3392377806384168,-0.6793662204867574,0.0,0.0,1.087114613009218,0.05031546054266285,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,True,False,False,False,False
-0.023371956282281222,0.7489241479658082,0.19736409826094234,0.17557374680515586,-0.39986329977161894,-0.5508072034463157,-1.029942546786872,0.264003793061337,-2.1073763797868943,-0.8381252068103381,-0.6018869809044204,0.05235301799852568,0.0,0.3015113445777658,0.42090330248635954,0.0,0.0,0.0,-0.08362420100070908,0.05031546054266285,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,False,True,False,False,False
-2.020077414272419,-1.5918225050087331,-0.6932815113042241,-0.10534424808309377,-0.6712637294808625,1.6018888393805701,1.0757785817484933,0.3051472413306362,1.6107804480547863,-0.6773289887893575,0.2534260972229135,-0.6805892339808339,0.0,0.3015113445777658,0.42090330248635954,0.0,0.0,0.0,-0.08362420100070908,0.05031546054266285,False,True,True,0.0,2.2360679774997902,True,True,True,True,False,False,False,False,False,False,True
0.4301065882415602,0.5738500762432196,-0.6932815113042241,-0.9480982327478414,-0.313015162264661,-0.2476105776960502,0.6468353888986969,-0.8057258619404416,1.1625815774660602,-0.6867875898494152,0.15839131076432078,-0.6107852099827996,0.0,0.3015113445777658,-0.19131968294834525,2.0380986614602725,0.0,0.0,-0.08362420100070908,0.05031546054266285,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,False,False,False,True,False
-2.030078405256862,-1.5938917839701425,-0.7362462555096477,1.720622718690527,3.0523501661299606,-0.9449628169216611,0.9203123288376219,-1.546307930787827,-0.017885870422554764,-0.2774881257960103,-1.0770609131973834,0.8201972819769023,0.0,0.3015113445777658,-0.49743117566569767,0.6793662204867574,0.0,0.0,0.08362420100070908,0.6541009870546161,False,True,True,0.0,2.2360679774997902,True,True,True,True,False,False,False,False,False,False,True
0.2995922726316504,0.6067367894832625,1.130190683895115,0.4564917416934055,-0.23702304194607274,-0.399208890571183,-0.8960260715072107,0.9222989653701235,0.051553391217952195,1.1494708250372367,-0.22174783507005014,-0.3315691139906627,0.0,0.3015113445777658,-0.49743117566569767,0.6793662204867574,0.0,0.0,1.2543630150106362,0.6541009870546161,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,False,False,False,True,False
-0.053063695076342975,0.8543219907001592,-0.6932815113042241,-0.10534424808309377,-0.03075871536704756,-0.672085853746422,-0.9088533200972165,0.7577251722929266,-0.3713948387742253,-0.7319309130905997,2.2491566128533593,-1.4135314859601935,0.0,0.3015113445777658,-0.49743117566569767,0.6793662204867574,0.0,0.0,-1.087114613009218,0.6541009870546161,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,False,False,True,False,False
0.3028187334160506,0.6067274526351567,1.0198575057821824,1.4397047238022787,-0.6929757638576021,-0.2476105776960502,-0.8908951720712083,0.7577251722929266,0.10836733256018491,2.0463181800954326,-0.6969217673630131,0.15705905399557704,0.0,0.3015113445777658,-0.49743117566569767,0.6793662204867574,0.0,0.0,1.4216114170120542,1.257886513566569,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,False,False,False,True,False
1.1205484471592397,0.2935403895221151,-0.6932815113042241,-1.2290162276360912,0.06694543932828015,-0.6417661911713954,1.5498736896351106,-1.752025172134323,0.02630275062140426,-0.7211825027950796,1.6789478941018032,-1.2739234379641249,0.0,0.3015113445777658,-0.6504869220243739,0.0,0.0,0.0,-1.087114613009218,0.6541009870546161,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,True,False,False,False,False,False
1.3444433850211936,-0.05984997442774097,-0.6932815113042241,-1.7908522174125905,-0.5301355060320558,0.6922989621297732,-0.8175233101363747,0.9222989653701235,0.37349905882393797,-0.6747493703184327,0.443495670140099,2.4605918459307072,0.0,0.3015113445777658,-0.9565984147417262,-1.3587324409735149,0.0,0.0,-1.7561082210148906,-1.7610411189931967,True,False,True,0.0,-0.44721359549995776,True,True,True,True,True,False,False,False,False,False,False
-0.1830039565702716,0.8402945435274688,2.492914092354203,0.3160327442492801,-0.5844155919739046,-0.15665158997097048,0.9382704768636303,-0.3942913792474499,0.5250029024032256,1.5278148674395438,-0.6018869809044204,0.05235301799852568,0.0,0.3015113445777658,-0.9565984147417262,-1.3587324409735149,0.0,0.0,-0.7526178090063816,-2.3648266455051496,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,False,False,True,False,False
0.43663213111418936,0.5762648185845373,-0.6932815113042241,0.7374097365816552,0.7834425737606834,-0.8540038291965814,0.6986574732023206,-0.8468693102097408,0.34824841822739,-0.7396697685033741,-0.5068521944458276,-0.05235301799852568,0.0,-3.316624790355398,2.5636837515078263,-1.3587324409735149,0.0,0.0,1.087114613009218,0.05031546054266285,False,True,True,0.0,-0.44721359549995776,True,True,True,True,False,False,False,False,False,True,False
