Mean,Year_year,Year_month,Year_day,Year_dayofweek,Source_GISTEMP,Source_gcag
-1.6529008030140502,-1.9802577354032098,-1.5921342499973545,0.0,-1.0020628073163584,False,True
-0.8075460355975193,-1.9802577354032098,-1.302414166331312,0.0,0.4992642125544862,False,True
-1.4465172973698621,-1.9802577354032098,-1.0126940826652697,0.0,0.4992642125544862,False,True
-1.4400755552969342,-1.9802577354032098,-0.7229739989992272,0.0,-1.5025051472733069,False,True
-1.2421158662096516,-1.9802577354032098,-0.43325391533318475,0.0,-0.5016204673594102,False,True
-0.8343040411312196,-1.9802577354032098,-0.14353383166714226,0.0,0.9997065525114345,False,True
-0.37743587257433714,-1.9802577354032098,0.1461862519989002,0.0,-1.5025051472733069,False,True
-0.4961125823025078,-1.9802577354032098,0.4359063356649427,0.0,-0.0011781274024620448,False,True
-0.9346465618825955,-1.9802577354032098,0.7256264193309852,0.0,1.5001488924683828,False,True
-1.3023213786604773,-1.9802577354032098,1.0153465029970277,0.0,-1.0020628073163584,False,True
-0.6814365465544319,-1.9802577354032098,1.30506658666307,0.0,0.4992642125544862,False,True
-0.9817208308770683,-1.9802577354032098,1.5947866703291125,0.0,1.5001488924683828,False,True
-0.47876943056770205,-1.9590649608192077,-1.5921342499973545,0.0,-0.5016204673594102,False,True
-1.1442509385632478,-1.9590649608192077,-1.302414166331312,0.0,0.9997065525114345,False,True
-1.582289399522341,-1.9590649608192077,-1.0126940826652697,0.0,0.9997065525114345,False,True
-1.3246197166052274,-1.9590649608192077,-0.7229739989992272,0.0,-1.0020628073163584,False,True
-0.4710888919422881,-1.9590649608192077,-0.43325391533318475,0.0,-0.0011781274024620448,False,True
-0.3202034718494782,-1.9590649608192077,-0.14353383166714226,0.0,1.5001488924683828,False,True
-0.22134750696108554,-1.9590649608192077,0.1461862519989002,0.0,-1.0020628073163584,False,True
-0.2337354724859468,-1.9590649608192077,0.4359063356649427,0.0,0.4992642125544862,False,True
-0.20747298557324098,-1.9590649608192077,0.7256264193309852,0.0,-1.5025051472733069,False,True
-0.002328276481538882,-1.9590649608192077,1.0153465029970277,0.0,-0.5016204673594102,False,True
-0.18443136969699908,-1.9590649608192077,1.30506658666307,0.0,0.9997065525114345,False,True
-0.5451689257809583,-1.9590649608192077,1.5947866703291125,0.0,-1.5025051472733069,False,True
-0.910861668074862,-1.9378721862352053,-1.5921342499973545,0.0,-0.0011781274024620448,False,True
-1.1625851275400425,-1.9378721862352053,-1.302414166331312,0.0,1.5001488924683828,False,True
-1.368473114563236,-1.9378721862352053,-1.0126940826652697,0.0,-1.5025051472733069,False,True
-1.4318994980505257,-1.9378721862352053,-0.7229739989992272,0.0,-0.0011781274024620448,False,True
-0.29716185597323636,-1.9378721862352053,-0.43325391533318475,0.0,0.9997065525114345,False,True
-0.1888910372859491,-1.9378721862352053,-0.14353383166714226,0.0,-1.0020628073163584,False,True
0.030871471125089235,-1.9378721862352053,0.1461862519989002,0.0,-0.0011781274024620448,False,True
-0.3174781194340088,-1.9378721862352053,0.4359063356649427,0.0,1.5001488924683828,False,True
0.013776078700780726,-1.9378721862352053,0.7256264193309852,0.0,-0.5016204673594102,False,True
-0.4086535456969875,-1.9378721862352053,1.0153465029970277,0.0,0.4992642125544862,False,True
-0.737677910037302,-1.9378721862352053,1.30506658666307,0.0,-1.5025051472733069,False,True
0.180518094665413,-1.9378721862352053,1.5947866703291125,0.0,-0.5016204673594102,False,True
-0.5578046506163168,-1.916679411651203,-1.5921342499973545,0.0,0.9997065525114345,False,True
-0.9817208308770683,-1.916679411651203,-1.302414166331312,0.0,-1.0020628073163584,False,True
-0.6762336010339902,-1.916679411651203,-1.0126940826652697,0.0,-1.0020628073163584,False,True
-0.9386107108505511,-1.916679411651203,-0.7229739989992272,0.0,0.4992642125544862,False,True
-0.6452636872218371,-1.916679411651203,-0.43325391533318475,0.0,1.5001488924683828,False,True
-0.33432575254782004,-1.916679411651203,-0.14353383166714226,0.0,-0.5016204673594102,False,True
-0.18814775935445746,-1.916679411651203,0.1461862519989002,0.0,0.4992642125544862,False,True
-0.12174826414120121,-1.916679411651203,0.4359063356649427,0.0,-1.5025051472733069,False,True
-0.6016580485743256,-1.916679411651203,0.7256264193309852,0.0,-0.0011781274024620448,False,True
-0.9522374729278985,-1.916679411651203,1.0153465029970277,0.0,0.9997065525114345,False,True
-1.0007982977853547,-1.916679411651203,1.30506658666307,0.0,-1.0020628073163584,False,True
-0.8174564080174083,-1.916679411651203,1.5947866703291125,0.0,-0.0011781274024620448,False,True
-0.9264705046361873,-1.8954866370672008,-1.5921342499973545,0.0,1.5001488924683828,False,True
-0.8761753646052505,-1.8954866370672008,-1.302414166331312,0.0,-0.5016204673594102,False,True
-0.5828283409765365,-1.8954866370672008,-1.0126940826652697,0.0,-0.5016204673594102,False,True
-0.8085370728395082,-1.8954866370672008,-0.7229739989992272,0.0,0.9997065525114345,False,True
-0.6987796982892376,-1.8954866370672008,-0.43325391533318475,0.0,-1.5025051472733069,False,True
-0.722316832786474,-1.8954866370672008,-0.14353383166714226,0.0,-0.0011781274024620448,False,True
-0.42401462294781544,-1.8954866370672008,0.1461862519989002,0.0,0.9997065525114345,False,True
-0.5746522837301281,-1.8954866370672008,0.4359063356649427,0.0,-1.0020628073163584,False,True
-0.5184109202472581,-1.8954866370672008,0.7256264193309852,0.0,0.4992642125544862,False,True
-0.2176311173036272,-1.8954866370672008,1.0153465029970277,0.0,1.5001488924683828,False,True
-0.9980729453698851,-1.8954866370672008,1.30506658666307,0.0,-0.5016204673594102,False,True
